model_name,map50,map50_95,map75,precision,recall,f1_score,time_per_image_ms,fps,num_images,total_time_seconds,timestamp,ap_small,ap_medium,ap_large,preprocess_ms,inference_ms,postprocess_ms,parameters,gflops,input_size,device,device_name
YOLOv8x,70.3984273721624,53.89380219680302,77.16198958996459,73.70672303408948,64.45281439547867,68.76985588978125,7.246977758407593,137.98855651790132,5000,36.234888792037964,2025-11-29T12:01:58.250916,0,0,0,0.30363291399553416,5.273952207062393,0.25679637072607875,3151904,8.7,640,cuda,NVIDIA GeForce RTX 4090
YOLOv10x,70.67561963522506,54.26171589011909,78.23839232797299,74.83053200082311,63.59729582122158,68.75813273951928,6.32764892578125,158.03658068411784,5000,31.63824462890625,2025-11-29T12:02:29.943099,0,0,0,0.29695356907323,4.597148996032774,0.03770323833450675,2299264,6.7,640,cuda,NVIDIA GeForce RTX 4090
RetinaNet,61.74559133457955,41.48925444728269,43.88634101908272,,58.7727792335778,,18.135171461105347,55.14146927944455,5000,90.67585730552673,2025-11-29T12:04:25.421665,26.958462281699386,45.822964819363065,53.68804863829426,2.5213911533355713,14.64067521095276,0.9725381851196289,38198935,152.0,800,cuda,NVIDIA GeForce RTX 4090
Faster R-CNN,67.4996856195116,46.72500164945351,51.16058895298187,,,,20.782813692092894,48.1166801962173,5000,103.91406846046448,2025-11-29T12:06:22.276737,30.649128866768272,50.51615355727422,60.16104970367601,2.3584575176239015,18.3345516204834,0.06940722465515137,43712278,134.4,800,cuda,NVIDIA GeForce RTX 4090
